category_name,item_name,item_price,item_price2,item_price3,choice_name,choice_price,choice_price2,choice_price3
Sub Sandwiches,Hot Italian Sub,13.19,,,,,,
Sub Sandwiches,Hot Buffalo Chicken Sub,7.91,,,,,,
Sub Sandwiches,Hot BBQ Chicken Sub,11.87,,,,,,
Sub Sandwiches,Hot Caprese,11.87,,,,,,
Sub Sandwiches,Grilled Cheese,6.59,,,,,,
Sub Sandwiches,Hot Soujouk Sub,11.87,,,,,,
Sub Sandwiches,Hot Mediterranean Sub,13.19,,,,,,
Sub Sandwiches,Hot Steak & Cheese Sub,13.19,,,,,,
Sub Sandwiches,Kavurmali (Stew Meat),15.83,,,,,,
Sub Sandwiches,Turkey Bacon Ranch Sandwich,14.29,,,,,,
Sub Sandwiches,Mozarella W/ Basil Sandwich,13.19,,,,,,
Sub Sandwiches,Mediterranean Sandwich,13.19,,,,,,
Sub Sandwiches,Grilled Cheese Sandwich,8.79,,,,,,
Panini Sandwiches,Grilled Chicken Pesto Panini Sandwich,11.87,,,,,,
Panini Sandwiches,Melanzana Panini Sandwich,12.93,,,,,,
Panini Sandwiches,Caprese Panini Sandwich,11.88,,,,,,
Panini Sandwiches,Grilled Chicken Parmesan Panini Sandwich,11.88,,,,,,
Panini Sandwiches,Grilled Steak & Cheese Panini Sandwich,12.60,,,,,,
Panini Sandwiches,Pita Breads Panini,12.09,,,,,,
Panini Sandwiches,Pita Bread Chipotle Chicken Club Panini,12.09,,,,,,
Panini Sandwiches,Pita Bread Chicken Bacon Ranch  Panini,12.09,,,,,,
Panini Sandwiches,Pita Bread Chicken Pesto Panini,12.09,,,,,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Mozzarella,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Goat Cheese,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Provolone Cheese,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Bacon,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Stew Meat (Kavurma),1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Cheddar Cheese,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Swiss Cheese,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Avocado,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Green Pepper,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Mushroom,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Tomatoes,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Caramelized Onion,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Spinach,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Soujuk,1.65,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Turkey Bacon,2.19,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Bacon,3.29,,
Breakfast,Scrambled Eggs w/ Cheese,6.59,,,Turkey Sausage Patties,1.64,,
Breakfast,Waffles,11.22,,,Strawberry,,,
Breakfast,Waffles,11.22,,,Blackberry,,,
Breakfast,Waffles,11.22,,,Blueberry,,,
Breakfast,Waffles,11.22,,,Raspberry,,,
Breakfast,Waffles,11.22,,,Pineapple,,,
Breakfast,Waffles,11.22,,,Banana,,,
Breakfast,Waffles,11.22,,,Grape,,,
Breakfast,Waffles,11.22,,,Most Popular,,,
Breakfast,Waffles,11.22,,,Most Popular,,,
Breakfast,Waffles,11.22,,,Nutella,,,
Breakfast,Waffles,11.22,,,Mascarpone,,,
Breakfast,Waffles,11.22,,,Dulce de Leche,,,
Breakfast,Waffles,11.22,,,Cookie Butter,,,
Breakfast,Waffles,11.22,,,Butter,,,
Breakfast,Waffles,11.22,,,Peanut Butter,,,
Breakfast,Waffles,11.22,,,Most Popular,,,
Breakfast,Waffles,11.22,,,Chocolate Sauce,,,
Breakfast,Waffles,11.22,,,Caramel,,,
Breakfast,Waffles,11.22,,,Raspberry Compote,,,
Breakfast,Waffles,11.22,,,Coconut Sprinkles,,,
Breakfast,Waffles,11.22,,,Strawberry,1.65,,
Breakfast,Waffles,11.22,,,Blackberry,1.65,,
Breakfast,Waffles,11.22,,,Blueberry,1.65,,
Breakfast,Waffles,11.22,,,Raspberry,1.65,,
Breakfast,Waffles,11.22,,,Pineapple,1.65,,
Breakfast,Waffles,11.22,,,Banana,1.65,,
Breakfast,Waffles,11.22,,,Grape,1.65,,
Breakfast,Waffles,11.22,,,Nutella,1.65,,
